k,P_success,P_nobody,P_notbest, 理論式 P_success, 理論式 P_nobody, 理論式 P_notbest
0,0.0102,0.0,0.9898, -NaN, 0.0, -NaN
1,0.05166,0.00987,0.93847, 0.0516727650753861, 0.01, 0.9383272349246139
2,0.08223,0.02028,0.89749, 0.08334553015077219, 0.02, 0.8966544698492278
3,0.11056,0.03024,0.8592, 0.11001829522615823, 0.03, 0.8599817047738417
4,0.13446,0.03921,0.82633, 0.13335772696821102, 0.04, 0.8266422730317889
5,0.15442,0.0487,0.79688, 0.1541971587102638, 0.05, 0.7958028412897362
6,0.17326,0.05957,0.76717, 0.17303659045231654, 0.06, 0.7669634095476834
7,0.19176,0.0698,0.73844, 0.1902093555277026, 0.07, 0.7397906444722974
8,0.20795,0.0796,0.71245, 0.20595354917451725, 0.08, 0.7140464508254828
9,0.22216,0.09028,0.68756, 0.22044774282133195, 0.09, 0.6895522571786681
10,0.23541,0.10147,0.66312, 0.2338308253570355, 0.1, 0.6661691746429645
11,0.24778,0.1092,0.64302, 0.246213907892739, 0.11, 0.643786092107261
12,0.26033,0.11987,0.6198, 0.25768789951935156, 0.12, 0.6223121004806484
13,0.27039,0.13008,0.59953, 0.26832855781263093, 0.13, 0.601671442187369
14,0.28041,0.1402,0.57939, 0.2781999853366796, 0.14, 0.5818000146633204
15,0.29048,0.14918,0.56034, 0.2873571271464424, 0.15, 0.5626428728535575
16,0.29519,0.16136,0.54345, 0.2958476022895386, 0.16, 0.5441523977104614
17,0.30337,0.17227,0.52436, 0.3037130774326348, 0.17, 0.5262869225673652
18,0.31105,0.17964,0.50931, 0.31099031728161336, 0.18, 0.5090096827183868
19,0.32016,0.18799,0.49185, 0.3177120015750363, 0.19, 0.49228799842496374
20,0.32444,0.20081,0.47475, 0.3239073700789857, 0.2, 0.47609262992101437
21,0.33164,0.20893,0.45943, 0.32960273858293493, 0.21, 0.4603972614170651
22,0.3365,0.21901,0.44449, 0.3348219166106937, 0.22, 0.4451780833893063
23,0.33881,0.23138,0.42981, 0.3395865491839072, 0.23, 0.43041345081609284
24,0.34883,0.23975,0.41142, 0.3439163991484249, 0.24, 0.4160836008515751
25,0.35217,0.25127,0.39656, 0.34782958244627593, 0.25, 0.40217041755372407
26,0.35372,0.25946,0.38682, 0.351342765744127, 0.26, 0.388657234255873
27,0.3577,0.27049,0.37181, 0.3544713336573626, 0.27, 0.3755286663426374
28,0.36191,0.27688,0.36121, 0.35722953120022777, 0.28, 0.3627704687997722
29,0.3629,0.28811,0.34899, 0.3596305858859502, 0.29, 0.35036941411404976
30,0.36317,0.30152,0.33531, 0.36168681298546573, 0.3, 0.3383131870145342
31,0.37024,0.3074,0.32236, 0.3634097067516478, 0.31, 0.32659029324835215
32,0.37004,0.31899,0.31097, 0.36481001987266864, 0.32, 0.3151899801273313
33,0.36839,0.33121,0.3004, 0.36589783299368955, 0.33, 0.3041021670063104
34,0.36826,0.33837,0.29337, 0.36668261581168016, 0.34, 0.29331738418831976
35,0.37015,0.34872,0.28113, 0.36717328098261187, 0.35, 0.28282671901738815
36,0.3714,0.36035,0.26825, 0.36737823186782936, 0.36, 0.27262176813217065
37,0.36953,0.36883,0.26164, 0.36730540497526903, 0.37, 0.26269459502473097
38,0.37033,0.38125,0.24842, 0.3669623078124385, 0.38, 0.2530376921875615
39,0.37052,0.38996,0.23952, 0.36635605275487115, 0.39, 0.24364394724512883
40,0.36933,0.39818,0.23249, 0.36549338744089344, 0.4, 0.23450661255910654
41,0.36922,0.40998,0.2208, 0.3643807221269158, 0.41, 0.22561927787308428
42,0.36772,0.42132,0.21096, 0.3630241543739137, 0.42, 0.21697584562608635
43,0.36798,0.42979,0.20223, 0.3614294913828165, 0.43, 0.20857050861718357
44,0.36463,0.43865,0.19672, 0.3596022702521843, 0.44, 0.20039772974781578
45,0.36063,0.44948,0.18989, 0.3575477763942794, 0.45, 0.19245222360572062
46,0.35873,0.46243,0.17884, 0.35527106031415245, 0.46, 0.18472893968584758
47,0.35803,0.47037,0.1716, 0.3527769529296774, 0.47, 0.1772230470703226
48,0.35607,0.47761,0.16632, 0.3500700795877557, 0.48, 0.1699299204122443
49,0.3514,0.49092,0.15768, 0.34715487291250063, 0.49, 0.16284512708749938
50,0.34756,0.50393,0.14851, 0.34403558460459244, 0.5, 0.15596441539540756
51,0.34843,0.50688,0.14469, 0.34071629629668426, 0.51, 0.14928370370331573
52,0.34429,0.52025,0.13546, 0.33720092955740366, 0.52, 0.14279907044259632
53,0.33616,0.53168,0.13216, 0.3334932551258153, 0.53, 0.13650674487418468
54,0.33361,0.54004,0.12635, 0.3295969014489439, 0.54, 0.13040309855105608
55,0.33236,0.54853,0.11911, 0.3255153625868873, 0.55, 0.12448463741311266
56,0.32718,0.56175,0.11107, 0.3212520055430126, 0.56, 0.11874799445698736
57,0.3233,0.569,0.1077, 0.3168100770705663, 0.57, 0.11318992292943375
58,0.31815,0.57989,0.10196, 0.3121927100016289, 0.58, 0.10780728999837114
59,0.31194,0.59053,0.09753, 0.307402929139588, 0.59, 0.10259707086041203
60,0.30893,0.59941,0.09166, 0.3024436567521234, 0.6, 0.0975563432478766
61,0.30092,0.6115,0.08758, 0.2973177176979922, 0.61, 0.09268228230200781
62,0.29392,0.62194,0.08414, 0.29202784421763145, 0.62, 0.08797215578236856
63,0.29352,0.63015,0.07633, 0.28657668041469003, 0.63, 0.08342331958530996
64,0.2858,0.64171,0.07249, 0.2809667864530184, 0.64, 0.07903321354698156
65,0.28232,0.64953,0.06815, 0.2752006424913468, 0.65, 0.07479935750865319
66,0.27658,0.65992,0.0635, 0.2692806523758291, 0.66, 0.07071934762417087
67,0.27136,0.67015,0.05849, 0.26320914710879617, 0.67, 0.06679085289120379
68,0.26349,0.68092,0.05559, 0.25698838811042, 0.68, 0.06301161188957993
69,0.25861,0.68842,0.05297, 0.25062057028851437, 0.69, 0.05937942971148569
70,0.24953,0.70246,0.04801, 0.24410782493037692, 0.7, 0.05589217506962313
71,0.24432,0.71048,0.0452, 0.23745222242938227, 0.71, 0.052547777570617765
72,0.23737,0.72101,0.04162, 0.2306557748579651, 0.72, 0.04934422514203493
73,0.23187,0.72928,0.03885, 0.2237204383976591, 0.73, 0.046279561602340924
74,0.22315,0.74144,0.03541, 0.21664811563598313, 0.74, 0.04335188436401688
75,0.21616,0.75063,0.03321, 0.2094406577391721, 0.75, 0.04055934226082791
76,0.20894,0.76057,0.03049, 0.2020998665090277, 0.76, 0.03790013349097229
77,0.2047,0.76748,0.02782, 0.19462749633151488, 0.77, 0.0353725036684851
78,0.19652,0.77858,0.0249, 0.18702525602413198, 0.78, 0.032974743975868
79,0.18622,0.79134,0.02244, 0.17929481058854393, 0.79, 0.03070518941145603
80,0.17921,0.80051,0.02028, 0.17143778287447486, 0.8, 0.02856221712552509
81,0.1708,0.81049,0.01871, 0.16345575516040584, 0.81, 0.02654424483959411
82,0.16224,0.82169,0.01607, 0.15535027065621332, 0.82, 0.02464972934378673
83,0.15695,0.82899,0.01406, 0.14712283493250858, 0.83, 0.02287716506749146
84,0.14872,0.83880999999999994,0.01247, 0.13877491728109304, 0.84, 0.021225082718906996
85,0.14022,0.84911,0.01067, 0.1303079520106299, 0.85, 0.01969204798937013
86,0.13058,0.85961,0.00981, 0.12172333968134319, 0.86, 0.018276660318656823
87,0.12173,0.8694,0.00887, 0.11302244828228904, 0.87, 0.016977551717710967
88,0.11213,0.88081,0.00706, 0.10420661435449925, 0.88, 0.015793385645500743
89,0.10445,0.88953,0.00602, 0.0952771440630731, 0.89, 0.01472285593692689
90,0.09476,0.90094,0.0043, 0.08623531422108516, 0.9, 0.01376468577891482
91,0.08673,0.9098,0.00347, 0.07708237326798609, 0.91, 0.012917626732013882
92,0.07751,0.91929,0.0032, 0.06781954220499693, 0.92, 0.012180457795003027
93,0.06826,0.92964,0.0021, 0.058448015489833846, 0.93, 0.011551984510166105
94,0.05878,0.93978,0.00144, 0.04896896189295034, 0.94, 0.011031038107049716
95,0.04874,0.95004,0.00122, 0.03938352531734343, 0.95, 0.010616474682656613
96,0.03896,0.96038,0.00066, 0.029692825583841783, 0.96, 0.010307174416158253
97,0.02986,0.96975,0.00039, 0.01989795918367347, 0.97, 0.010102040816326558
98,0.01966,0.98028,6.0e-5, 0.009999999999999998, 0.98, 0.01000000000000002
99,0.01016,0.98984,0.0, 0.0, 0.99, 0.010000000000000009
